Module,Offered,Group,Language,Activity,Day,Time,Venue,Campus,Study Prog
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-12,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-13,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-14,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-2,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-6,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-7,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-8,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,HB 4-9,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,IT 2-24,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,IT 2-25,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,IT 4-2,HATFIELD,
ENG120,S2,G02,E,L3,Friday,07:30 - 08:20,IT 4-4,HATFIELD,
ENG120,S2,G51,E,L1,Tuesday,11:30 - 12:20,Aldoel 1,GROENKLOOF,
ENG120,S2,G51,E,L2,Wednesday,07:30 - 08:20,Aldoel 1,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 1-133,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 2-42,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 2-83/84,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 2-89/90,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 2-97,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 3-22,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 3-25,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 3-26,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Aldoel Bld 3-27,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Lecture Theatre L1,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Lecture Theatre L2,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Lecture Theatre L3,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Lecture Theatre L4,GROENKLOOF,
ENG120,S2,G51,E,L3,Friday,12:30 - 13:20,Lecture Theatre L9,GROENKLOOF,
ENG210,S1,G01,E,L1,Monday,12:30 - 13:20,Thuto 1-1,HATFIELD,
ENG210,S1,G01,E,L2,Wednesday,14:30 - 15:20,Thuto 1-1,HATFIELD,
ENG210,S1,G01,E,T1,Thursday,12:30 - 13:20,Thuto 1-1,HATFIELD,
ENG210,S1,G01,E,T2,Friday,13:30 - 14:20,Thuto 1-1,HATFIELD,
ENG210,S1,G51,E,L1,Monday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG210,S1,G51,E,L2,Tuesday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG210,S1,G51,E,T1,Thursday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG210,S1,G51,E,T1,Wednesday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG220,S2,G01,E,L1,Monday,14:30 - 15:20,AE du Toit Auditorium,HATFIELD,
ENG220,S2,G01,E,L2,Wednesday,15:30 - 16:20,Large Chemistry Hall,HATFIELD,
ENG220,S2,G01,E,T1,Thursday,13:30 - 14:20,Large Chemistry Hall,HATFIELD,
ENG220,S2,G01,E,T2,Friday,12:30 - 13:20,Roos hall,HATFIELD,
ENG220,S2,G51,E,L1,Monday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG220,S2,G51,E,L2,Tuesday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG220,S2,G51,E,T1,Thursday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG220,S2,G51,E,T1,Wednesday,17:30 - 18:20,Aldoel 1,GROENKLOOF,
ENG310,S1,G01,E,D1,Thursday,10:30 - 11:20,HB 4-3,HATFIELD,
ENG310,S1,G01,E,D2,Friday,12:30 - 13:20,HB 4-2,HATFIELD,
ENG310,S1,G01,E,L1,Monday,08:30 - 09:20,HB 4-3,HATFIELD,
ENG310,S1,G01,E,L2,Wednesday,07:30 - 08:20,HB 4-1,HATFIELD,
ENG320,S2,G01,E,D1,Thursday,12:30 - 13:20,HB 4-3,HATFIELD,
ENG320,S2,G01,E,D2,Friday,14:30 - 15:20,HB 4-1,HATFIELD,
ENG320,S2,G01,E,L1,Monday,07:30 - 08:20,HB 4-1,HATFIELD,
ENG320,S2,G01,E,L2,Tuesday,15:30 - 16:20,HB 4-3,HATFIELD,
ENR420,Q1,G01,E,L1,Thursday,08:30 - 10:20,Eng II 4-36,HATFIELD,E4
ENR420,Q1,G01,E,P1,Monday,15:30 - 18:20,Informatorium Grey Lab,HATFIELD,E4
ENR420,Q1,G01,E,T1,Monday,14:30 - 15:20,Eng II 4-21,HATFIELD,E4
ENR420,Q3,G02,E,L1,Tuesday,12:30 - 14:20,Eng I 1-4,HATFIELD,E4
ENR420,Q3,G02,E,P1,Wednesday,14:30 - 17:20,Eng NS2 Comp Lab 3,HATFIELD,E4
ENR420,Q3,G02,E,P1,Wednesday,14:30 - 17:20,Eng NS2 Comp Lab 4,HATFIELD,E4
ENR420,Q3,G02,E,T1,Thursday,10:30 - 11:20,Eng II 3-40,HATFIELD,E4
ENV101,S1,G01,E,L1,Monday,12:30 - 13:20,Centenary 4,HATFIELD,
ENV101,S1,G01,E,L2,Wednesday,14:30 - 15:20,Centenary 5,HATFIELD,
